service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date,service_name
34-5753,0,0,0,0,0,0,0,20260304,20260429,2025-10-22 → 2026-04-29 (8 mer)
34-5754,1,1,0,1,1,0,0,20260302,20260703,"2025-09-01 → 2026-07-03 (42 lun, 43 mar, 41 jeu, 42 ven)"
34-5758,1,1,1,1,1,1,0,20260302,20260701,"2025-09-01 → 2026-07-01 (42 lun, 43 mar, 44 mer, 40 jeu, 41 ven, 42 sam)"
34-5759,1,1,1,1,1,0,0,20260302,20260612,"2025-09-01 → 2026-06-12 (39 lun, 40 mar, 41 mer, 38 jeu, 39 ven)"
34-5760,1,1,1,1,1,1,0,20260302,20260612,"2025-09-01 → 2026-06-12 (39 lun, 40 mar, 41 mer, 38 jeu, 39 ven, 39 sam)"
34-5788,1,1,1,1,1,0,0,20260309,20260703,"2025-09-01 → 2026-07-03 (34 lun, 35 mar, 36 mer, 35 jeu, 35 ven)"
34-5789,1,1,0,1,1,0,0,20260309,20260703,"2025-09-01 → 2026-07-03 (34 lun, 35 mar, 35 jeu, 35 ven)"
34-5790,0,0,1,0,0,0,0,20260311,20260701,2025-09-03 → 2026-07-01 (36 mer)
34-5794,0,0,0,0,0,1,0,20260314,20260627,2025-09-06 → 2026-06-27 (31 sam)
34-5795,1,1,0,1,1,1,0,20260309,20260703,"2025-09-01 → 2026-07-03 (34 lun, 35 mar, 35 jeu, 35 ven, 31 sam)"
34-5803,0,0,1,0,0,1,0,20260311,20260701,"2025-09-03 → 2026-07-01 (36 mer, 31 sam)"
34-5805,1,1,1,1,1,0,0,20260302,20260703,"2025-09-01 → 2026-07-03 (42 lun, 43 mar, 44 mer, 41 jeu, 42 ven)"
34-5814,0,0,0,0,0,0,0,20260302,20260430,"2025-10-20 → 2026-04-30 (8 lun, 8 mar, 8 mer, 6 jeu, 7 ven)"
34-5815,0,0,0,0,0,1,0,20260307,20260627,2025-09-06 → 2026-06-27 (42 sam)
34-5816,1,1,1,1,1,1,0,20260302,20260703,"2025-09-01 → 2026-07-03 (42 lun, 43 mar, 44 mer, 41 jeu, 42 ven, 42 sam)"
34-5817,0,0,0,0,0,1,0,20260307,20260502,2025-10-18 → 2026-05-02 (11 sam)
34-5828,1,1,1,1,1,0,0,20260309,20260703,"2025-09-08 → 2026-07-03 (33 lun, 34 mar, 35 mer, 34 jeu, 34 ven)"
34-5844,1,1,1,1,1,0,0,20260309,20260703,"2025-09-12 → 2026-07-03 (32 lun, 33 mar, 34 mer, 33 jeu, 34 ven)"
34-5934,1,1,0,1,1,0,0,20260309,20260731,"2025-09-01 → 2026-07-31 (38 lun, 39 mar, 39 jeu, 39 ven)"
34-5944,1,1,1,1,1,0,0,20260309,20260703,"2025-10-03 → 2026-07-03 (29 lun, 30 mar, 31 mer, 30 jeu, 31 ven)"
34-5979,1,0,0,0,0,0,0,20260309,20260629,"2025-09-01 → 2026-06-29 (35 lun, mar, mer)"
34-5980,0,0,0,0,1,1,1,20260418,20260703,"2025-10-18 → 2026-07-03 (7 lun, 5 mar, 5 mer, 6 jeu, 7 ven, 15 sam, 15 dim)"
34-5981,1,0,0,0,0,0,0,20260309,20260629,"2025-09-01 → 2026-06-29 (35 lun, mar, mer)"
34-6012,1,1,0,1,1,0,0,20260309,20260703,"2025-11-03 → 2026-07-03 (27 lun, 28 mar, 28 jeu, 28 ven)"
